birthday,count
9/11/1999,313
27/8/1999,313
8/4/2000,313
19/2/1999,313
9/1/2000,313
19/8/1999,312
1/4/1999,312
28/9/2000,312
17/12/1999,311
24/12/2000,311
8/1/1998,311
2/4/1998,311
17/8/1998,311
2/5/1999,310
27/10/1999,310
4/5/1999,309
28/10/1999,309
9/8/1999,309
30/4/2000,309
5/4/2000,309
20/7/1998,309
16/5/1999,309
15/6/1998,308
16/7/1998,308
7/1/2000,308
14/5/2000,308
17/5/1999,308
4/3/1999,307
12/6/1998,307
18/6/2000,307
15/12/2000,307
13/6/1999,307
21/8/2000,307
19/1/1999,307
6/8/1999,306
11/2/2000,306
12/4/1998,305
6/9/1998,305
8/9/1999,305
19/11/1998,305
28/11/2000,305
18/3/1999,305
13/5/1999,305
26/6/1998,305
20/1/1999,304
11/7/1999,304
19/4/2000,304
14/11/1999,304
11/5/2000,304
11/8/1999,303
5/1/1999,303
21/9/2000,303
4/2/1998,303
5/6/1999,302
25/5/1998,302
11/9/1999,302
1/3/1999,302
29/3/1999,301
14/6/1998,301
25/8/1999,301
4/7/2000,301
7/9/1999,301
24/1/2000,300
21/10/1999,300
3/9/1999,300
28/11/1999,300
23/4/2000,300
1/11/1998,300
14/5/1998,300
19/7/2000,299
6/10/1999,299
22/12/1999,299
29/11/2000,299
3/9/2000,299
20/1/1998,299
21/12/2000,299
2/10/1998,298
27/2/2000,298
25/9/1999,298
6/3/1998,298
25/2/2000,298
13/1/2000,298
4/6/1999,298
1/3/1998,297
24/11/2000,297
24/11/1999,297
13/4/1999,297
25/12/2000,297
27/11/2000,296
20/3/1998,296
15/6/1999,296
1/8/1999,296
25/10/1998,296
20/9/1998,296
22/1/2000,296
24/2/2000,295
7/6/1999,295
9/2/2000,294
18/5/2000,294
18/7/1999,294
6/5/1999,294
22/4/2000,294
27/8/2000,294
17/1/1999,294
26/11/2000,294
25/11/2000,294
13/10/1998,293
11/5/1999,293
4/5/1998,293
5/6/1998,293
16/1/1998,293
16/5/1998,293
17/1/1998,293
1/12/2000,292
28/2/1998,292
1/4/1998,292
2/7/2000,292
7/8/1998,291
29/8/2000,291
25/11/1999,291
5/12/1999,291
6/8/1998,291
28/6/2000,291
22/12/2000,290
15/12/1999,290
1/10/1998,289
17/12/1998,289
13/5/2000,289
4/6/2000,289
7/10/1999,289
4/1/1998,289
21/7/2000,289
19/7/1999,288
29/1/2000,288
26/3/1998,288
9/1/1999,288
21/2/1999,288
25/7/2000,288
25/10/1999,287
15/1/1999,287
6/5/1998,286
14/12/2000,286
6/4/1998,286
23/1/2000,286
29/10/2000,286
22/11/1999,286
28/9/1999,285
14/5/1999,285
25/6/2000,285
2/8/1999,285
5/7/1999,285
19/6/2000,285
12/5/1998,285
17/7/1998,285
25/2/1999,284
12/1/1999,284
8/2/1999,284
7/3/2000,284
13/7/1999,284
20/12/1998,283
26/6/1999,283
13/4/2000,283
9/1/1998,283
8/10/1998,282
9/4/1999,282
24/4/1998,282
26/1/1998,282
27/7/1998,282
6/7/1999,282
29/10/1998,282
28/7/1999,282
30/4/1999,281
13/5/1998,281
24/6/2000,281
9/4/2000,281
14/4/1998,281
8/7/2000,281
11/12/2000,281
23/9/1999,281
24/10/1999,281
26/8/1999,280
9/5/2000,280
6/12/2000,280
24/8/1999,280
21/6/2000,279
25/3/1999,279
24/3/2000,279
21/2/2000,279
3/5/1998,279
1/12/1999,278
22/2/1998,278
27/11/1999,278
24/6/1999,278
5/9/1998,278
29/10/1999,278
24/12/1999,278
23/9/2000,277
5/12/2000,277
5/8/1999,277
7/3/1999,277
6/10/1998,277
18/5/1999,277
22/10/1999,277
6/2/1998,276
3/5/1999,276
28/2/1999,276
6/4/1999,276
28/10/1998,276
12/5/1999,276
7/8/1999,276
4/12/2000,276
8/11/1999,276
13/12/1999,275
30/6/2000,275
19/2/1998,275
15/2/1998,275
28/3/1999,275
7/6/2000,275
13/3/1998,275
30/3/2000,275
16/12/1998,275
18/1/1999,275
11/10/1999,275
4/9/1998,274
4/10/1999,274
5/8/2000,274
8/12/2000,274
26/4/2000,273
1/7/1998,273
4/10/1998,273
23/11/1999,273
11/6/1999,272
26/10/1998,272
24/2/1998,272
22/7/2000,272
22/6/2000,272
5/10/1998,272
5/4/1999,271
5/2/1999,271
7/3/1998,271
22/8/1999,270
11/10/1998,270
8/5/2000,270
25/3/2000,270
30/11/1999,270
7/7/1998,270
13/8/1998,269
2/5/1998,268
18/6/1999,268
11/3/2000,268
12/3/1999,268
26/7/1999,268
3/8/1999,268
18/4/1999,268
22/3/2000,268
29/7/2000,268
27/5/2000,267
23/11/2000,267
8/5/1998,267
9/7/2000,266
14/1/1998,266
6/12/1999,266
4/8/1998,266
13/9/1998,266
30/7/1999,266
3/11/1999,266
29/4/2000,265
21/5/2000,265
6/1/1999,265
27/10/1998,265
30/10/1998,265
11/4/2000,265
18/5/1998,265
28/7/2000,265
28/6/1999,264
26/11/1999,264
15/4/1998,264
19/4/1999,264
25/1/1999,264
4/7/1999,264
29/9/1998,264
7/5/1999,264
12/7/1998,264
20/5/1999,264
6/2/1999,263
18/4/1998,263
24/2/1999,263
19/3/1999,263
3/1/1999,263
29/2/2000,263
7/10/1998,262
10/12/1998,262
4/12/1999,262
16/12/1999,262
13/7/1998,262
4/6/1998,261
25/4/2000,261
23/2/2000,261
9/2/1998,261
25/8/1998,261
8/1/1999,260
7/4/1999,260
14/6/1999,260
9/3/1999,260
9/6/1999,260
21/3/2000,259
5/3/1998,259
17/4/1998,259
12/3/1998,259
28/3/2000,259
2/8/1998,259
23/8/1999,259
21/8/1999,259
23/3/1999,258
1/7/1999,258
6/7/1998,257
27/4/2000,257
5/1/1998,257
27/3/2000,257
8/5/1999,257
30/9/2000,257
30/4/1998,256
5/2/1998,256
12/11/1998,256
9/12/2000,256
8/6/1999,256
7/5/1998,256
3/9/1998,255
7/11/1999,255
25/12/1998,255
27/1/2000,255
9/7/1999,255
4/1/1999,255
22/9/1999,254
18/6/1998,254
3/7/2000,254
6/3/1999,254
14/3/1998,254
24/7/1999,254
5/4/1998,254
21/9/1999,254
22/8/1998,254
14/3/1999,254
24/3/1998,254
24/8/1998,253
8/4/1999,253
1/12/1998,253
30/11/2000,253
17/6/1998,253
27/6/2000,253
23/6/1999,252
2/11/1998,252
21/1/1998,252
7/1/1998,251
14/7/1998,251
11/9/1998,251
24/5/1999,251
26/12/2000,250
5/8/1998,250
27/12/2000,250
8/7/1999,250
2/6/1999,250
7/9/1998,250
19/6/1999,249
25/9/1998,249
21/10/1998,248
26/2/1998,248
21/7/1999,248
26/8/1998,248
11/1/1998,248
29/3/2000,248
9/5/1998,248
21/3/1999,248
4/8/1999,248
3/12/2000,247
23/7/2000,247
3/6/1999,247
29/5/2000,246
7/2/1999,246
13/11/1998,246
13/12/2000,246
14/1/1999,246
14/12/1999,245
26/12/1999,245
26/1/1999,245
9/5/1999,245
17/5/1998,245
8/6/1998,244
29/1/1998,244
28/5/2000,244
11/8/1998,244
8/2/1998,244
2/6/1998,244
2/12/1999,244
13/1/1999,243
27/2/1999,243
6/11/1998,243
29/5/1999,243
29/6/2000,243
27/5/1998,242
11/2/1999,242
25/4/1999,242
11/6/1998,242
3/8/2000,242
8/12/1999,242
26/4/1999,241
31/10/2000,241
24/1/1998,241
25/1/1998,241
28/4/1999,241
23/5/2000,241
23/1/1999,241
17/6/1999,241
22/6/1999,240
9/11/1998,240
21/4/1999,239
13/3/1999,239
2/7/1999,239
26/9/1998,238
22/4/1999,238
9/12/1999,238
27/8/1998,238
28/11/1998,237
27/5/1999,237
28/1/1998,237
23/10/1998,237
21/12/1999,237
8/4/1998,236
22/5/2000,236
4/7/1998,236
24/10/1998,236
25/11/1998,236
11/5/1998,236
7/12/2000,236
24/6/1998,236
26/5/1999,235
28/5/1998,235
18/7/1998,235
23/3/1998,234
21/6/1999,234
11/12/1999,233
24/9/1998,233
3/7/1999,233
22/12/1998,233
9/7/1998,233
19/3/1998,232
9/3/1998,232
5/7/1998,232
11/1/1999,232
3/10/1998,232
2/7/1998,231
24/12/1998,231
11/2/1998,231
19/6/1998,231
22/1/1999,231
29/11/1999,231
25/6/1999,231
29/8/1999,230
25/3/1998,230
24/1/1999,230
3/1/1998,230
25/7/1999,230
21/2/1998,229
7/11/1998,229
26/2/1999,229
29/7/1999,229
3/8/1998,229
2/12/1998,229
28/9/1998,229
22/10/1998,229
23/4/1999,228
13/2/1999,228
23/6/2000,228
28/3/1998,228
13/2/1998,228
7/12/1999,228
24/5/2000,228
26/5/2000,227
15/12/1998,227
9/2/1999,227
25/2/1998,226
28/12/1999,226
8/12/1998,226
11/3/1999,225
24/7/1998,225
13/1/1998,224
11/4/1999,224
21/8/1998,224
21/4/2000,223
31/1/2000,223
28/7/1998,223
27/1/1998,223
23/9/1998,223
13/4/1998,223
14/11/1998,222
21/5/1999,222
7/6/1998,222
28/12/2000,221
11/3/1998,221
30/3/1999,221
11/4/1998,221
30/7/2000,221
3/7/1998,221
21/1/1999,221
24/11/1998,220
9/6/1998,220
24/3/1999,220
27/2/1998,220
27/4/1999,220
7/4/1998,219
4/11/1998,219
22/9/1998,219
8/11/1998,218
13/12/1998,218
9/8/1998,218
7/2/1998,217
24/5/1998,217
30/5/2000,217
27/3/1999,217
28/4/1998,217
13/6/1998,216
22/7/1998,216
27/6/1999,215
29/6/1999,215
31/8/2000,215
25/4/1998,213
27/4/1998,213
27/9/1998,213
25/6/1998,213
28/5/1999,213
22/11/1998,212
3/6/1998,212
30/5/1999,212
3/12/1999,211
30/1/2000,211
30/8/1998,211
10/10/0,211
22/1/1998,211
23/8/1998,210
8/7/1998,209
9/4/1998,208
23/5/1998,208
4/12/1998,206
28/12/1998,206
24/7/2000,206
11/7/1998,206
21/9/1998,206
23/7/1999,206
30/9/1998,205
22/4/1998,205
7/1/1999,205
22/5/1998,204
23/6/1998,204
23/12/1999,204
23/12/2000,203
14/12/1998,203
26/7/1998,203
29/5/1998,202
22/6/1998,202
28/1/1999,201
21/5/1998,201
21/7/1998,201
22/7/1999,201
19/7/1998,201
23/5/1999,201
20/10/0,200
21/3/1998,199
25/7/1998,199
30/8/1999,198
23/1/1998,198
27/3/1998,198
26/5/1998,198
5/11/1998,198
22/5/1999,197
27/12/1999,197
30/1/1998,197
21/11/1998,197
29/12/2000,196
23/2/1998,196
29/11/1998,195
31/8/1999,195
3/11/1998,195
29/8/1998,195
27/1/1999,194
30/12/1999,193
21/4/1998,192
26/11/1998,191
30/12/2000,191
21/12/1998,190
22/3/1998,189
23/2/1999,189
30/6/1998,187
19/4/1998,186
27/6/1998,186
6/12/1998,186
31/3/2000,186
31/10/1999,185
27/11/1998,185
23/11/1998,184
30/6/1999,184
29/12/1999,184
31/3/1999,184
29/1/1999,183
21/6/1998,181
27/12/1998,181
22/3/1999,180
31/12/2000,180
30/11/1998,179
11/12/1998,178
23/4/1998,178
31/7/1999,177
28/6/1998,176
5/12/1998,175
31/7/2000,175
30/1/1999,173
9/12/1998,173
31/12/1999,173
29/6/1998,172
30/7/1998,172
26/4/1998,171
7/12/1998,171
30/5/1998,171
30/3/1998,170
29/7/1998,169
23/7/1998,169
26/12/1998,168
29/4/1999,167
29/3/1998,167
2/1/0,166
30/12/1998,166
3/12/1998,165
29/12/1998,162
31/5/1999,157
29/4/1998,154
2/9/0,150
31/1/1998,143
2/2/0,142
10/2/0,141
31/8/1998,138
31/3/1998,137
20/11/0,137
23/12/1998,136
20/8/0,135
15/10/0,132
31/12/1998,132
31/1/1999,130
31/5/2000,129
31/10/1998,127
10/1/0,123
31/7/1998,120
17/11/0,119
16/11/0,119
10/3/0,119
12/8/0,117
8/11/0,117
15/9/0,116
16/10/0,116
12/2/0,115
8/12/0,113
20/2/0,113
1/10/0,113
6/1/0,112
19/5/0,112
4/10/0,112
17/10/0,112
18/11/0,111
9/10/0,111
31/5/1998,111
10/5/0,110
5/1/0,110
20/7/0,110
8/3/0,109
1/1/1997,109
6/9/0,108
10/8/0,108
28/8/0,107
14/2/0,107
10/4/0,107
3/3/0,106
16/4/0,105
20/6/0,105
19/1/0,105
18/2/0,105
22/10/0,105
24/10/0,104
10/11/0,104
3/4/0,104
2/10/0,104
1/6/0,103
28/6/0,103
12/10/0,102
10/9/0,102
1/2/0,102
20/5/0,102
20/9/0,102
8/8/0,101
27/10/0,101
1/9/0,101
16/6/0,101
10/6/0,101
5/5/0,100
19/9/0,100
12/9/0,100
1/8/0,100
14/10/0,100
25/10/0,100
25/11/0,100
9/9/0,100
1/11/0,99
20/1/0,99
14/4/0,99
6/6/0,99
25/1/0,98
2/4/0,97
12/6/0,97
7/7/0,97
29/9/0,97
10/12/0,97
12/12/0,97
5/10/0,96
22/1/0,96
26/8/0,96
18/8/0,96
24/4/0,95
24/8/0,95
20/4/0,95
11/9/0,95
28/10/0,95
28/2/0,95
4/6/0,95
16/8/0,95
1/7/0,94
20/3/0,93
15/11/0,93
30/4/0,93
15/8/0,93
15/2/0,93
25/8/0,93
20/12/0,93
4/8/0,93
8/1/0,93
15/4/0,93
1/12/0,92
27/7/0,92
15/7/0,92
15/1/0,92
26/10/0,92
16/9/0,92
18/10/0,92
17/2/0,92
11/11/0,91
2/8/0,91
11/10/0,91
14/8/0,91
19/10/0,91
14/1/0,90
14/6/0,90
12/4/0,90
5/11/0,90
26/6/0,90
3/8/0,89
15/5/0,89
1/4/0,89
7/9/0,89
2/5/0,89
7/10/0,89
10/7/0,88
8/10/0,88
17/8/0,88
5/6/0,88
2/11/0,88
24/11/0,88
25/9/0,88
21/10/0,88
4/11/0,88
19/11/0,88
14/11/0,88
13/5/0,88
5/9/0,87
6/8/0,87
19/7/0,87
24/3/0,87
14/9/0,87
16/2/0,87
13/10/0,86
17/9/0,86
6/2/0,86
3/5/0,86
25/5/0,86
3/12/0,86
16/12/0,86
13/4/0,86
16/1/0,86
13/7/0,86
19/12/0,85
26/9/0,85
1/3/0,85
15/3/0,85
26/2/0,85
22/6/0,85
27/9/0,84
24/9/0,84
4/2/0,84
29/10/0,84
17/1/0,84
12/5/0,84
24/1/0,83
18/4/0,83
15/6/0,83
12/1/0,82
2/3/0,82
18/5/0,82
1/5/0,82
11/6/0,82
23/8/0,81
21/9/0,81
9/11/0,81
12/11/0,81
22/12/0,81
25/12/0,81
3/10/0,81
22/2/0,81
24/5/0,80
5/12/0,80
16/5/0,80
22/9/0,80
17/7/0,80
13/6/0,80
2/6/0,80
19/8/0,79
3/1/0,79
18/3/0,79
16/3/0,79
30/10/0,78
26/7/0,78
8/9/0,78
23/10/0,78
22/8/0,78
28/9/0,78
25/2/0,78
3/2/0,78
17/5/0,78
6/11/0,78
19/2/0,78
12/7/0,77
4/12/0,77
4/4/0,77
22/7/0,77
21/11/0,77
4/1/0,76
13/9/0,76
4/7/0,76
9/3/0,76
6/12/0,76
29/11/0,76
8/5/0,76
30/9/0,76
26/11/0,76
24/2/0,76
2/12/0,76
11/8/0,76
4/5/0,76
13/3/0,75
19/6/0,75
10/10/1997,75
24/12/0,75
3/11/0,75
14/3/0,75
6/4/0,75
22/5/0,75
23/1/0,75
11/1/0,74
21/3/0,74
19/3/0,74
18/9/0,74
27/8/0,74
26/3/0,74
23/9/0,74
9/1/0,74
22/4/0,74
4/3/0,74
30/8/0,73
7/5/0,73
5/7/0,73
13/8/0,73
26/4/0,73
22/11/0,73
23/7/0,73
2/7/0,73
6/5/0,72
27/1/0,72
21/12/0,72
25/6/0,72
7/11/0,72
3/7/0,72
28/7/0,72
21/1/0,72
6/3/0,72
11/12/0,72
18/12/0,72
29/5/0,71
9/12/0,71
11/3/0,71
13/11/0,71
30/5/0,71
6/3/1997,71
29/3/0,71
3/9/0,70
17/4/0,70
9/4/0,70
17/12/0,70
18/1/0,70
30/6/0,70
23/11/0,70
7/3/0,70
7/1/0,70
23/3/0,70
17/6/0,70
5/2/0,69
3/6/0,69
28/11/0,69
6/10/0,69
24/6/0,69
12/3/0,69
9/7/0,69
18/6/0,69
6/7/0,69
21/2/0,69
27/4/0,68
14/7/0,68
29/6/0,68
11/5/0,68
11/7/0,68
5/4/0,67
13/1/0,67
9/6/0,67
21/4/0,67
25/4/0,67
25/7/0,67
23/6/0,66
5/8/0,66
4/9/0,66
27/2/0,66
8/6/0,66
24/7/0,65
7/8/0,65
28/12/0,65
23/2/0,65
18/7/0,65
26/12/0,65
7/12/0,65
30/7/0,65
25/3/0,64
8/2/0,64
23/4/0,64
28/1/0,64
16/7/0,63
30/12/0,63
7/2/0,63
9/2/0,63
27/3/0,63
7/6/0,63
8/7/0,62
26/5/0,62
19/4/0,62
21/8/0,62
7/4/0,62
31/10/0,61
29/7/0,61
21/7/0,61
30/1/0,61
15/12/0,61
9/8/0,61
27/12/0,61
14/5/0,60
28/4/0,60
5/3/0,60
29/4/0,60
27/11/0,60
28/5/0,60
28/3/0,59
17/3/0,59
26/1/0,59
30/11/0,59
27/5/0,59
13/12/0,58
8/4/0,58
21/6/0,57
13/2/0,57
29/8/0,57
14/12/0,57
11/4/0,55
30/3/0,55
11/2/0,55
29/1/0,55
9/5/0,54
27/6/0,53
23/5/0,53
22/3/0,51
23/12/0,51
29/12/0,50
19/4/1997,49
31/7/0,46
21/5/0,45
31/8/0,45
31/1/0,43
15/7/1997,42
31/3/0,41
10/12/1997,36
20/11/1997,35
19/12/1997,35
17/10/1997,34
20/7/1997,34
20/10/1997,34
15/10/1997,34
10/11/1997,33
17/11/1997,33
14/10/1997,33
18/11/1997,32
2/9/1997,32
16/10/1997,31
17/8/1997,29
7/7/1997,29
29/2/1999,29
2/2/1997,28
10/9/1997,28
20/1/1997,28
15/3/1997,28
5/5/1997,27
6/9/1997,27
10/2/1997,26
31/12/0,26
2/11/1997,26
24/12/1997,26
8/10/1997,26
4/10/1997,26
28/10/1997,26
18/4/1997,26
27/10/1997,25
10/8/1997,25
16/11/1997,25
15/12/1997,25
6/6/1997,25
29/2/0,25
19/9/1997,25
26/7/1997,25
6/12/1997,25
25/12/1997,25
31/5/0,25
15/4/1997,24
29/10/1997,24
1/11/1997,24
14/4/1997,24
18/12/1997,24
10/6/1997,24
12/12/1997,24
21/11/1997,24
5/6/1997,23
30/4/1997,23
15/11/1997,23
20/6/1997,23
1/12/1997,23
17/9/1997,23
17/6/1997,23
26/6/1997,23
14/12/1997,23
30/12/1997,23
28/12/1997,23
10/1/1997,23
15/8/1997,23
10/3/1997,22
23/12/1997,22
16/4/1997,22
4/11/1997,22
1/6/1997,22
31/12/1997,22
19/8/1997,22
5/9/1997,22
11/10/1997,22
28/11/1997,22
2/1/1997,22
18/9/1997,22
13/12/1997,22
12/11/1997,22
1/10/1997,22
14/6/1997,22
10/5/1997,22
20/8/1997,21
11/12/1997,21
1/4/1997,21
21/9/1997,21
27/7/1997,21
7/9/1997,21
26/12/1997,21
20/12/1997,21
25/11/1997,21
10/4/1997,21
7/12/1997,21
7/8/1997,21
12/10/1997,21
9/10/1997,21
17/12/1997,21
28/9/1997,20
17/3/1997,20
1/1/1990,20
19/10/1997,20
14/8/1997,20
16/9/1997,20
24/10/1997,20
2/8/1997,20
20/9/1997,20
30/10/1997,20
8/8/1997,20
1/5/1997,20
8/12/1997,20
5/12/1997,19
31/2/1999,19
25/10/1997,19
15/6/1997,19
10/7/1997,19
16/7/1997,19
16/3/1997,19
3/11/1997,19
4/9/1997,19
24/9/1997,19
20/2/1997,19
16/12/1997,19
27/12/1997,19
6/5/1997,19
9/12/1997,19
2/10/1997,19
26/10/1997,19
18/3/98,19
13/9/1997,19
25/8/1997,19
25/9/1997,19
1/9/1997,19
9/9/1997,18
